No,English,Japanese,Chapter
914,credit,信用、名誉、功績、(大学などの)単位、信じる,5
915,creed,（宗教上の）信条,5
916,creep,忍び込む、のろのろ進む、はう,5
917,crew,乗組員、乗務員、一団,5
918,crime,罪、犯罪、違法行為,5
919,criminal,犯罪者、犯人,5
920,crisis,危機,5
921,criteria,基準,5
922,criterion,(価値判断の)基準、尺度(複：criteria),5
923,critical,批判的な（of）、重大な、危機的な、批評的な,5
924,critically,批評的に、非常に、決定的に、危険なほどに,5
925,criticism,評論、批評、避難、批判,5
926,criticize,批判する、批評する,5
927,crop,作物、収穫(量)、～を収穫する、(作物が)できる,5
928,cross,横切る、十字（路）、混合物,5
929,crowd,群衆、（the）大衆、群がる、に群がる,5
930,crucial,決定的な、必要不可欠の,5
931,crude,雑な、荒削りな、こなれていない、（態度などが）露骨な,5
932,cruel,残酷な、悲惨な、ひどい,5
933,cruise,遊覧航海する、ぶらぶらする、を巡航する,5
934,crush,押しつぶす、つぶれる、混雑,5
935,crystal,結晶（の）、水晶（の）,5
936,cue,合図、手がかり、（次の演技の）キュー,5
937,cuisine,（独特の）料理、料理法,5
938,cultivate,耕作する、栽培する、（才能など）をみがく、養う,5
939,culture,文化、教養、洗練、耕作、栽培、飼育、芸術、文学,5
940,cunning,悪賢い、ずるい、ずるさ,5
941,curb,抑制する、拘束する、(歩道の)縁石,5
942,cure,治療する、取り除く、治療,5
943,curiosity,好奇心,5
944,curious,好奇心の強い、好奇心をそそる、奇妙な,5
945,currency,通貨、普及,5
946,current,現在の、通用している、流れ,5
947,curriculum,カリキュラム、(学校の)教科課程,5
948,curse,呪い(の言葉)、ののしり、をののしる,5
949,curve,（道路などの）カーブ、曲線,5
950,custom,慣習、習慣、（商店などへの）愛顧、（～s）関税、税関,5
951,customer,顧客,5
952,cycle,周期、循環、自転車に乗る、循環する,5
953,cynical,軽蔑する、冷笑的な〔に〕、皮肉な、ひねくれた,5
954,daily,日常（の）、毎日（の）,5
955,dairy,〔集合的に〕乳製品、乳製品加工所［販売者］,5
956,damage,損害を与える、損害、損傷,5
957,damp,湿った,5
958,danger,危険、脅威,5
959,dare,あえて（～）する、～に立ち向かう、思い切って～する,5
960,data,（単複両扱い）情報、データ（単数形はdatum）,5
961,database,データベース、データの集積,5
962,date,日付、デート,5
963,dawn,夜明け、始まり、わかり始める,5
964,daylight,昼間、公表,5
965,dazzle,の目をくらます、目がくらむこと、輝き,5
966,dead,まったく、突然、すっかり,5
967,deadline,締め切り,5
968,deaf,耳が聞こえない,5
969,deal,扱う、対処する、分配する,5
970,death,死（亡）,5
971,debate,議論、論争、討論する、論争する,5
972,debris,（破壊された後の）残骸、瓦礫、がらくた,5
973,debt,借金（状態）,5
974,decade,10年間,5
975,decay,腐敗する、（徐々に）衰える,5
976,deceased,故人,5
977,deceitfully,偽って、人を惑わすように,5
978,deceive,だます,5
979,decent,まともな、まあまあの、慎みのある、かなりよい、きちんとした,5
980,decide,決める、決意する、決着をつける,5
981,decision,決定、決心,5
982,decisive,決定的な、断固とした,5
983,declare,宣言する、言明する、断言する,5
984,decline,減少、衰退、低下、減少する、衰退する、を断る,5
985,decorate,装飾する,5
986,decoration,飾り、飾り付け、装飾品,5
987,decrease,減少する、を減らす,5
988,dedicate,ささげる,5
989,deduce,推論[推定、演繹]する、(結論)を出す,5
990,deed,行為、行い,5
991,deer,シカ（複数形も同形）,5
992,defeat,失敗(させる)、敗北（させる）,5
993,defect,欠陥、欠点、障害,5
994,defend,防御する、弁護する,5
995,defendant,被告(人),5
996,deficiency,不足、欠陥,5
997,deficient,欠如した、不十分な、不足している,5
998,deficit,不足（額）、欠損,5
999,define,定義する、明確に定める,5
1000,definitely,絶対,5
1001,definition,定義,6
1002,deforestation,森林破壊,6
1003,defy,逆らう、反抗する、挑む,6
1004,degrade,の品位を下げる、(価値・品質)を下げる、低下する,6
1005,degree,学位、（温度・角度などの）度、程度、段階,6
1006,delay,遅延、延期、を遅らせる、を延期する、のろのろする,6
1007,delegation,代表派遣、使節,6
1008,delete,削除する、消す,6
1009,deliberate,慎重な、意図的な、落ち着いた、ゆっくりの、熟考する,6
1010,deliberately,故意に,6
1011,delicate,繊細な、かよわい、（問題などが）微妙で扱いにくい,6
1012,delight,大きな喜び、を大喜びさせる、楽しむ,6
1013,delinquency,非行、犯罪,6
1014,delinquent,非行の,6
1015,deliver,配達する、（演説など）をする、（子）を出産する,6
1016,delusion,妄想、錯覚、欺くこと,6
1017,demand,要求する、要求、需要,6
1018,dementia,認知症,6
1019,democracy,民主主義、民主政治、民主国家,6
1020,democrat,民主主義者、民主党議員,6
1021,democratic,民主主義の、民主的な,6
1022,demographic,人口統計学の,6
1023,demographics,人口統計の,6
1024,demolish,破壊する、粉砕する,6
1025,demonstrate,証明する、実演する、デモをする,6
1026,denote,意味する,6
1027,denounce,非難する、責める,6
1028,dense,密集した、濃い,6
1029,density,密度,6
1030,deny,～を否定する、～を（…に）与えない,6
1031,depart,出発する、（～から）それる（from）,6
1032,department,部門、学科、～省、（百貨店などの）売り場,6
1033,departure,出発,6
1034,depend,頼る、依存する、左右される、（～によって）決まる,6
1035,depict,描写する,6
1036,deplore,嘆き悲しむ、非難する,6
1037,deposit,置く、預金する、預金、手付金、堆積物,6
1038,depress,落胆させる、押し下げる、憂鬱にさせる,6
1039,depressing,意気消沈させる、気を重くさせる,6
1040,depression,憂うつ、うつ病、不況、低気圧,6
1041,deprivation,喪失、欠乏、はく奪,6
1042,deprive,～から（～を）奪う、～から剥奪する,6
1043,depth,深さ,6
1044,derive,由来する、～を得る,6
1045,descend,（be ～ed）由来する、を降りる、伝わる,6
1046,descent,下降、降下、下り坂、家系,6
1047,describe,描写する、～を（…だと）言う、説明する,6
1048,desert,(見)捨てる、砂漠、不毛の,6
1049,deserve,～に値する、～を受ける価値がある,6
1050,design,設計する、設計（図）、デザイン、意図,6
1051,designate,指名する、指定する、指名された,6
1052,desire,欲望、要望、（強く）を望む,6
1053,desolate,寂しい、孤独な、荒れ果てた、みじめな、を寂しくさせる,6
1054,despair,絶望,6
1055,desperate,自暴自棄の、絶望的な、（～したくて）たまらない,6
1056,despise,軽蔑する、ひどくきらう,6
1057,despite,～にもかかわらず,6
1058,despotic,専制的な,6
1059,dessert,（食後の）デザート,6
1060,destination,目的地,6
1061,destiny,運命,6
1062,destroy,破壊する、滅ぼす、殺す,6
1063,detach,切り離す、取り外す,6
1064,detached,切り離された,6
1065,detail,詳細、細部,6
1066,detain,拘留する,6
1067,detect,感知する、見つけ出す、に気づく,6
1068,deter,妨げる、思いとどまらせる,6
1069,deteriorate,悪化する、低下する,6
1070,determine,決意する、はっきりと決める,6
1071,detest,ひどく嫌う,6
1072,devastate,壊滅させる,6
1073,devastating,破壊的な、圧倒する、すごい,6
1074,develop,発達する、を発達させる、を開発する、を発症する,6
1075,device,装置、機器、方策、デバイス,6
1076,devise,考案する,6
1077,devoid,欠いている、持っていない,6
1078,devote,充てる、ささげる,6
1079,diabetes,糖尿病,6
1080,diagnose,診断する,6
1081,diagnosis,診断,6
1082,dialect,方言、地方語,6
1083,dialog,対話、会話,6
1084,dialogue,対話、会話、意見の交換,6
1085,diameter,直径、倍率,6
1086,dictate,書きとらせる、命令する,6
1087,dictator,独裁者,6
1088,dictum,格言、意見,6
1089,diet,食事、ダイエット、食習慣、（the D-）国会,6
1090,differ,異なる、意見が合わない、違う,6
1091,differently,異なって,6
1092,difficulty,困難(さ),6
1093,diffuse,放散させる、流布させる、広まる、発散(流布)した,6
1094,dig,掘る、探求する,6
1095,digest,消化する、理解する、要約する,6
1096,digit,数字,6
1097,digital,デジタル方式の、デジタル［数字］表示の,6
1098,dignified,威厳〔品位〕のある、高貴な,6
1099,dignity,威厳、気品、尊厳,6
1100,dilemma,ジレンマ、板挟み,6
1101,diligent,勤勉な、一生懸命な、念入りな、骨を折った,6
1102,dim,ぼんやりした、かすかな,6
1103,dimension,局面、次元、寸法、重要性,6
1104,diminish,減らす、減少する,6
1105,dinosaur,恐竜,6
1106,dip,ちょっと浸る、浸す、沈む、ちょっと浸すこと、低下,6
1107,diploma,卒業〔終了〕証書、学位授与証,6
1108,diplomacy,外交（的手腕）,6
1109,diplomat,外交官,6
1110,diplomatic,外交的な、外交官の、外交的手腕に優れた、外交上の,6
1111,direct,道を教える、向ける、指図（指示）する,6
1112,direction,方向、指導,6
1113,directly,直接に,6
1114,dirt,汚れ、泥,6
1115,disability,障がい,6
1116,disable,～の能力を奪う,6
1117,disabled,障がいのある、障がい者用の,6
1118,disadvantage,不利（な点）、障害、（信用などの）損失,6
1119,disagree,不賛成である、意見が食い違う,6
1120,disappear,消える、見えなくなる,6
1121,disappoint,失望させる、（希望など）をくじく,6
1122,disapprove,賛成しない、を認めない,6
1123,disarm,～の武装解除をする、～を無力にする,6
1124,disaster,（大）災害,6
1125,disastrous,悲惨な、災害を引き起こす,6
1126,discard,(不用品・習慣・友人など)を捨てる、放棄,6
1127,discern,見つける、見分ける、識別する,6
1128,discharge,放出する,6
1129,discipline,訓練する、しつける、訓練、しつけ、規律,6
1130,disclose,公表する、暴く,6
1131,discount,割引（率）、を割引する、（話など）軽視（無視）する,6
1132,discourage,やる気をなくさせる、落胆させる,6
1133,discourse,話し合い、会話、講演、論説,6
1134,discover,（偶然に）を発見する、に気づく,6
1135,discreet,思慮分別のある、目立たない,6
1136,discriminate,差別する、識別する、～を区別する,6
1137,discrimination,差別、区別,6
1138,discuss,～について話し合う,6
1139,disdain,軽蔑、を軽蔑する,6
1140,disease,病気,6
1141,disguise,変装する、隠す、見せかけ、ごまかし,6
1142,disgust,嫌悪、をむかむかさせる,6
1143,dish,皿、（皿に盛った）料理,6
1144,dishonesty,不正(行為)、不正直,6
1145,dislike,嫌う、嫌悪,6
1146,dismal,気の滅入る、憂鬱な、陰鬱な、暗い,6
1147,dismay,ろうばいさせる、落胆させる、ろうばい、落胆,6
1148,dismiss,無視する、解雇する、解散する,6
1149,disobedient,従順でない、違反する,6
1150,disorder,障害、（心身の）不調、混乱,6
1151,dispatch,派遣する、発送する、処理する,6
1152,dispense,分配する、配給する、施す、投薬する,6
1153,disperse,分散させる、散布する、広める、消散する,6
1154,displace,～に取って代わる、移動させる,6
1155,display,陳列する、示す、見せびらかす、展示、表に出すこと,6
1156,displeasure,不満、不快,6
1157,disposal,処分、処理、処分の自由、(人・物などの)配置,6
1158,dispose,処置する、処分する、配置する、～を…する気にさせる,6
1159,dispute,討論、紛争を議論（論争）する、に反論する,6
1160,disregard,無視する、軽視する、無視、軽視,6
1161,disrupt,中断させる、混乱させる、分裂させる,6
1162,dissatisfied,不満な、不満そうな,6
1163,dissolve,溶かす、解散する、解消する、溶ける,6
1164,dissuade,～に…することを思いとどまらせる,6
1165,distance,距離,6
1166,distant,遠い、距離のある、（関係が）冷ややかな,6
1167,distinct,明らかに異なる、明瞭な,6
1168,distinctly,はっきりと、明確に、本当に,6
1169,distinguish,"区別する, 見分ける",6
1170,distort,ゆがめる、ねじる,6
1171,distortion,ゆがみ、歪曲、ゆがめられた物〔状態〕,6
1172,distract,そらす,6
1173,distraction,気が散ること、気を散らすもの、気晴らし,6
1174,distress,苦悩、疲労、困窮、を苦悩させる,6
1175,distribute,分配する、〔受身形で〕分布する,6
1176,district,地域、地区,6
1177,disturb,かき乱す、妨害する、邪魔をする,6
1178,diverge,分岐する、分かれる、異なる,6
1179,diverse,さまざまな,6
1180,diversion,気晴らし、注意をそらすこと、目的変更、方向転換,6
1181,diversity,多様性、相違点,6
1182,divert,そらす、迂回させる、転用する,6
1183,divide,分割する、分離する、分ける、分類する,6
1184,divine,神の、神にささげる,6
1185,division,部門、分割、分配、割り算,6
1186,divorce,離婚する、～を（…から）分離する,6
1187,dizzy,めまいのする、目もくらむような,6
1188,do,～に～をもたらす、役に立つ、～をする,6
1189,doctrine,教義、主義,6
1190,document,記録する、文書、記録,6
1191,dogma,教義、定説； 独断,6
1192,dogmatic,独断的な教義上の,6
1193,dollar,ドル、１ドル紙幣,6
1194,dolphin,イルカ,6
1195,domain,(活動・関心・知識などの)領域、分野、範囲、領地、領土,6
1196,domestic,家庭の、国内の、（動物が）飼いならされた,6
1197,domestication,飼いならすこと、順応,6
1198,dominant,支配的な、より優位にたつ,6
1199,dominate,支配する、優勢である,6
1200,donate,寄付する、贈与する、（臓器・血液）を提供する,6
1201,donation,寄贈〔寄付〕、(血液・臓器などの)提供,7
1202,donor,寄贈者,7
1203,doom,破滅、運命、死、を運命づける(to),7
1204,doomed,運命にある,7
1205,dormitory,寮,7
1206,dose,（薬の1回分の）服用量,7
1207,dot,点、しみ,7
1208,doubly,二重に、二倍に,7
1209,doubt,疑う、～ではないと思う,7
1210,doubtful,疑わしい、疑っている,7
1211,downright,まったく、まったくの、率直な,7
1212,downtown,町の中心街、町の中心街へ,7
1213,dozen,ダース（12個）（の）,7
1214,draft,下書き、為替手形、すき間風,7
1215,drag,引きずる、のろのろと進む、だらだらと続く,7
1216,drain,排出させる、空にする、使い果たす、水がはける、徐々に尽きる,7
1217,drama,ドラマ、演劇,7
1218,dramatic,劇的な、演劇の,7
1219,drastic,徹底的な、思い切った、猛烈な、抜本的な,7
1220,drastically,劇的に,7
1221,draw,引く、描画する、近づく、引き分け,7
1222,dread,ひどく恐れる、恐怖,7
1223,dreadful,ひどい、いやな、恐ろしい,7
1224,dreary,わびしい、退屈な,7
1225,dress,衣服を着せる、ドレス、衣服,7
1226,drift,漂う、（知らぬ間に）移り変わる、漂流物,7
1227,drill,訓練、（反復）練習、ドリル、錐,7
1228,drip,水滴、しずく、滴る、たらす,7
1229,drive,駆り立てる、（車）を運転する、車で送る、衝動,7
1230,drought,干ばつ、（慢性的な）不足,7
1231,drown,溺死させる、溺れ死ぬ、ずぶ濡れになる,7
1232,drudgery,骨の折れる仕事、つまらない仕事,7
1233,drug,薬、麻薬,7
1234,dual,二の、二重の,7
1235,dubious,疑わしい、信用できない、疑っている,7
1236,due,～するはず、到着予定で、期限が来て、当然支払うべき、正当な,7
1237,dull,退屈な、（色などが）くすんだ、曇った,7
1238,dumb,口が利けない、ばかな、愚かな,7
1239,dump,捨てる、ドサッと落とす、ごみ捨て場、ごみの山,7
1240,duplicate,複製する,7
1241,durable,耐久性がある、長持ちする：（状況などが）長く続く,7
1242,duration,（時間の）継続、持続（時間）,7
1243,dust,ほこり,7
1244,Dutch,オランダ人[語](の),7
1245,duty,任務、義務、関税,7
1246,dwell,住む、宿る,7
1247,dwindle,低下する、だんだん小さくなる,7
1248,dye,染料、染まる（染める）,7
1249,dynamic,活動的な、精力的な、動的な,7
1250,each,それぞれ、どれもこれも,7
1251,eager,熱望して、熱心な,7
1252,earn,（働いてお金など）を稼ぐ、（名声など）を得る,7
1253,earnest,熱心な、真剣な、重大な、厳粛な,7
1254,earthquake,地震,7
1255,ease,容易さ、安楽さ、を和らげる、を取り除く,7
1256,east,東（部）（の）,7
1257,eccentric,常軌を逸した、一風変わった、変な,7
1258,eclipse,（日食・月食などの）食、（名声などの）失墜,7
1259,ecological,生態学の,7
1260,ecology,生態学、生態(系)、自然環境、エコロジー,7
1261,economic,経済(学)の,7
1262,economy,経済（状態）、経済圏、節約,7
1263,ecosystem,生態系,7
1264,edge,端、ふち、刃（先）,7
1265,edible,食用の、食べられる,7
1266,edit,編集する,7
1267,editor,編集者、編集長,7
1268,educate,教育する、に教える、（能力など）を養う,7
1269,education,教育,7
1270,educator,教育者、教師、教育学者(米),7
1271,effect,影響、効果、結果、（結果を）もたらす,7
1272,effective,効果的な,7
1273,efficient,効率的な、有能な、効率的に仕事をこなす,7
1274,effort,努力,7
1275,ego,うぬぼれ、自我,7
1276,Egypt,エジプト,7
1277,elaborate,詳しく述べる、手の込んだ、複雑な,7
1278,elbow,ひじ,7
1279,elderly,初老の、年配の,7
1280,elect,～を選ぶ、～を選挙で選ぶ,7
1281,election,選挙、当選,7
1282,electric,電気の、電気で動く,7
1283,electricity,電気,7
1284,electronic,電子（工学）の,7
1285,elegant,優雅な、上品な,7
1286,element,要素、元素、基礎、自然の力,7
1287,elemental,すさまじい、根本的な、自然の,7
1288,elementary,初級の、基本的な,7
1289,elevate,高める、元気づける、向上させる,7
1290,elevator,エレベーター,7
1291,eligible,適格の、資格のある、（結婚相手として）望ましい,7
1292,eliminate,～を除去する、～を完全になくす、～を取り除く,7
1293,elite,〔通例the～〕〔集合的に〕エリート,7
1294,eloquent,雄弁な、よく表す(of),7
1295,elsewhere,どこか他のところに,7
1296,emancipate,解放する,7
1297,embark,乗り込む、着手する,7
1298,embarrass,当惑させる、困らせる、恥ずかしい思いをさせる,7
1299,embassy,大使館、大使館員,7
1300,embed,〔通例受身形で〕埋め込まれる、はめ込まれる,7
1301,embody,（思想など）を具体化する,7
1302,embrace,含む、（考えなど）を受け入れる、（人）を抱きしめる,7
1303,emerge,現れる、明らかになる、抜け出す,7
1304,emergency,非常事態、緊急事態,7
1305,emigrant,移民,7
1306,emigrate,移住する,7
1307,emigration,移住、移民団,7
1308,eminent,著名な、すぐれた、卓越した,7
1309,emission,放出（量）,7
1310,emit,放出する、出す、送る,7
1311,emotion,感情、情動、感動,7
1312,empathy,感情移入、共感,7
1313,emperor,皇帝,7
1314,emphasize,強調する、重点を置く,7
1315,empire,帝国、大企業,7
1316,empirical,実験〔実証・経験〕に基づいた,7
1317,employ,雇う、使う,7
1318,employee,従業員,7
1319,employment,雇用,7
1320,empty,空になる、を空にする、空の、空虚な,7
1321,enable,（人）が…できるようにする、を可能にする,7
1322,enact,制定する,7
1323,enchant,魅了する、魔法をかける,7
1324,enclose,同封する、取り囲む,7
1325,encounter,遭遇する、（思いがけず）出会う,7
1326,encourage,～を…するよう励ます、促進する,7
1327,encyclopedia,百科事典,7
1328,end,端、終了、目的、終わらせる、終わる,7
1329,endanger,危険にさらす,7
1330,endangered,絶滅の危機に瀕した,7
1331,endeavor,努める、努力,7
1332,endow,授ける、与える、寄付する,7
1333,endowed,恵まれる,7
1334,endure,耐える、持ちこたえる,7
1335,enemy,敵（軍）,7
1336,energy,エネルギー、活力,7
1337,enforce,施行［実施］する、強制する,7
1338,engage,引き付ける、雇う、従事させる、婚約させる、従事する,7
1339,engineering,工学(技術),7
1340,enhance,高める、より良くする,7
1341,enjoyment,楽しみ、享受,7
1342,enlarge,拡大する,7
1343,enlighten,啓発する、啓蒙する、教える、知らせる,7
1344,enlightened,進んだ考えの,7
1345,enlightenment,啓蒙、啓発,7
1346,enormous,巨大な、莫大な,7
1347,enough,十分な、十分に、必要なだけの数量,7
1348,enrich,豊かにする、濃縮化する,7
1349,enroll,登録する、入会する、を登録させる,7
1350,ensure,確実にする、守る,7
1351,entail,伴う、引き起こす、含む,7
1352,enter,～に入る、～を記入する、～に加わる,7
1353,enterprise,企業、事業、企画、進取の気性,7
1354,entertain,楽しませる、もてなす、考慮する、心に抱く,7
1355,entertainment,娯楽、催し物、接待,7
1356,enthusiasm,熱情、熱意,7
1357,enthusiastic,熱狂的な、熱心な,7
1358,enthusiastically,熱狂的に,7
1359,entire,全体の、全部の、完全な,7
1360,entirely,まったく,7
1361,entitle,資格を与える、権利を与える、表題を付ける,7
1362,entitled,得る権利がある、題された,7
1363,entity,存在、存在物、統一体,7
1364,entrepreneur,起業家、事業家,7
1365,envelop,包む、覆う(in),7
1366,envelope,封筒,7
1367,envious,うらやんで、うらやましそうな,7
1368,environment,環境,7
1369,envy,うらやむ、ねたむ、ねたみ、うらやむ気持ち,7
1370,epidemic,伝染病、伝染病の流行、伝染病の、流行の,7
1371,epoch,時代、画期的な出来事,7
1372,equal,等しい、匹敵する、平等な,7
1373,equality,平等、対等,7
1374,equate,等しいとみなす、等しくする,7
1375,equation,方程式、同一視、均衡,7
1376,equator,赤道,7
1377,equip,備え付ける、装備する、身につけさせる,7
1378,equipment,装備、備品,7
1379,equivalent,同等の、担当する、同等のもの,7
1380,era,（政治・歴史上重要な）時代,7
1381,erase,消し取る、削除する,7
1382,erect,建てる、直立させる、直立した,7
1383,erode,腐食する； ～を腐食する、侵食する,7
1384,erosion,浸食、衰え,7
1385,err,誤りを犯す,7
1386,errand,（人の）使い、使い走り、用件,7
1387,error,（基準から外れた）誤り,7
1388,erupt,（火山が）噴火する、勃発する,7
1389,eruption,噴出、噴火、発生,7
1390,escape,逃げる、免れる、脱出、逃避,7
1391,essay,（学生に課される）レポート、エッセイ,7
1392,essential,必要不可欠な、本質的な,7
1393,establish,設立する、確立する、立証する,7
1394,estate,財産、地所,7
1395,esteem,尊敬、尊重、評価、を尊ぶ、とみなす〔思う〕,7
1396,estimate,見積もる、判断（評価）する、見積もり（書）、判断,7
1397,eternal,永遠の、不変の,7
1398,ethic,倫理、道徳、倫理［道徳］規範,7
1399,ethics,倫理学（観）、道徳（律）,7
1400,ethnic,民族の、人種の、民族特有の,7
1401,Europe,ヨーロッパ,8
1402,evacuated,避難した,8
1403,evade,避ける、回避する,8
1404,evaluate,評価する、査定する,8
1405,evaporate,蒸発する、消散する、を蒸発させる,8
1406,even,…さえ、（比較級の前で）いっそう,8
1407,event,(重要な)出来事、事件,8
1408,eventually,結局、最終的に,8
1409,everyday,日常の、毎日の,8
1410,evidence,証拠、（事実を示す）形跡,8
1411,evident,明白な、明らかな,8
1412,evil,害悪、邪悪、邪悪な,8
1413,evoke,呼び起こす、引き起こす、誘い出す,8
1414,evolution,進化(論)、発展,8
1415,evolve,（徐々に）発展する、進化する,8
1416,exact,正確な、まさにその,8
1417,exactly,ちょうど、正確に,8
1418,exaggerate,誇張する、強調する、誇張する,8
1419,examine,調べる、診察する、尋問する,8
1420,exceed,～を超える、～より勝る,8
1421,excel,秀でている、に勝る、より優れている,8
1422,excellent,非常に優れた,8
1423,except,～を除いて、 ～以外は,8
1424,exception,例外,8
1425,excess,過剰、超過,8
1426,excessive,過度の,8
1427,exchange,交換する、交換し合う、両替する,8
1428,excite,興奮させる,8
1429,exclaim,（突然）叫ぶ,8
1430,exclude,除外する,8
1431,exclusion,除外、追放、除外されたもの、免責事項,8
1432,excursion,遠足、団体の小旅行、脱線、逸脱,8
1433,excuse,許す、言い訳をする,8
1434,execute,実行〔遂行〕する、死刑を執行する、処刑する,8
1435,executive,(経営)幹部、執行権のある、行政の,8
1436,exercise,課題、行使、練習、運動、行使する、運動させる[する],8
1437,exert,（力など）を用いる、を行使する、努力する、尽力する,8
1438,exhaust,疲れ果てさせる、使い尽くす、排気する,8
1439,exhausted,疲れ切っている,8
1440,exhibit,展示する、（感情や能力）を示す、展示（品）,8
1441,exile,国外追放、亡命、国外追放する,8
1442,exist,存在する、生存する,8
1443,exotic,異国風の、（動植物などが）外来の、風変わりな,8
1444,expand,拡大する、広がる、膨張する,8
1445,expect,予期する、～を期待する、～だろうと思う,8
1446,expedition,遠征、探検隊、小旅行,8
1447,expel,追い出す、追い払う,8
1448,expend,（労力・金・時間など）を費やす、を消費する,8
1449,expense,〔～s〕経費、費用、犠牲,8
1450,expensive,高価な,8
1451,experience,経験、体験,8
1452,experiment,実験,8
1453,expert,専門家、熟練者、熟達した,8
1454,expertise,専門知識、専門的意見,8
1455,expire,(契約などが)終了する、死ぬ、息を吐きだす,8
1456,explain,説明する,8
1457,explanation,説明、解釈、理由,8
1458,explicit,明白な、率直な,8
1459,explode,爆発する、急増する、を論破する,8
1460,exploit,（資源など）を開発する、～を搾取する、～を利用する,8
1461,explore,調査［探究］する、探検［探査］する,8
1462,explosion,爆発,8
1463,export,輸出する、外国に広める、輸出、輸出品,8
1464,expose,さらす、暴露する、露出する,8
1465,express,はっきりした、急行の、速達便の,8
1466,expression,表現、表情,8
1467,exquisite,この上なく優れた、たいへんすばらしい,8
1468,extend,延長する、～を拡大する、～を示す、～を施す,8
1469,extensive,広範囲の、大規模な,8
1470,extent,程度、範囲,8
1471,exterminate,～を根絶する,8
1472,external,外部の、対外的な,8
1473,extinct,（動物のある種族などが）絶滅した、消えた,8
1474,extinction,絶滅,8
1475,extinguish,消す、失わせる,8
1476,extra,追加の、余分の、別勘定の,8
1477,extract,抽出する、引き出す、抽出物、抜粋,8
1478,extraordinary,並はずれた、異常な、驚くべき,8
1479,extravagant,仰々しい、金遣いの荒い、ぜいたくな,8
1480,extreme,極端な、極度の、過激な,8
1481,extremely,非常に,8
1482,extrovert,外向的な、社交的な,8
1483,eyebrow,眉毛,8
1484,eyelash,まつげ,8
1485,eyelid,まぶた,8
1486,fable,たとえ話、つくりばなし,8
1487,fabric,織物、織り方、基本構造[関係],8
1488,fabulous,すばらしい,8
1489,face,～に直面する、～に面する,8
1490,facial,顔の,8
1491,facility,施設、設備、容易さ、能力,8
1492,fact,事実,8
1493,factor,要因、因子,8
1494,factory,工場,8
1495,faculty,能力、才能、機能、(大学の)学部、教授陣,8
1496,fade,あせる、消えていく、しぼむ,8
1497,fail,失敗する、～しない、できない(to do)、役立たない,8
1498,failure,失敗,8
1499,faint,かすかな、弱々しい、ぼんやりした、気を失いそうな,8
1500,fair,公平な、公正な、まあまあの、かなりの、美しい、品評会,8
1501,fairly,かなり、適切（公平）に,8
1502,fairy,妖精の（ような）,8
1503,faith,信頼、信仰（心）,8
1504,fake,偽造する、のふりをする,8
1505,fallacy,誤った考え、誤信、錯誤,8
1506,false,誤った、間違った、うその、偽りの、真実とは違う,8
1507,fame,名声,8
1508,familiar,精通した、なじみのある,8
1509,famine,飢饉、（食糧・物資の）ひどい不足,8
1510,famous,有名な,8
1511,fanatical,狂信的な、熱狂的な,8
1512,fancy,空想、好み、高価な、装飾的な、を想像する、を好む,8
1513,fantastic,すてきな、途方もない、架空の,8
1514,fantasy,空想、幻想、幻想的作品,8
1515,far,大いに、遠くへ、ほど遠い[=決して～でない],8
1516,fare,（交通機関の）運賃,8
1517,farewell,お別れ,8
1518,farming,農業,8
1519,fascinate,魅惑する、うっとりさせる,8
1520,fashion,流行、ファッション、方法、流儀,8
1521,fast,速い、固定した、しっかりと、ぐっすりと、断食する,8
1522,fasten,しっかり留める,8
1523,fat,太っている、脂肪（分）,8
1524,fatal,致命的な、取り返しのつかない,8
1525,fate,運命、結末、最期,8
1526,fatigue,疲労,8
1527,fault,誤り、欠陥、欠点、（落度などの）責任,8
1528,favor,好意、親切な行為、支持、賛成する、えこひいきする,8
1529,favorite,お気に入りの（もの）,8
1530,fear,恐れる、気づかう、恐怖、心配,8
1531,feast,ごちそう、祝宴、祝祭(日),8
1532,feat,功績、(熟練体力を要する)妙技、離れ業、偉業,8
1533,feather,羽、羽毛,8
1534,feature,特徴、（複数）顔立ち、呼び物、を呼び物とする,8
1535,federal,連邦（政府）の,8
1536,fee,（参加・入場の）料金、（専門職への）謝礼,8
1537,feeble,弱々しい、ひ弱な,8
1538,feed,食べ物［乳］を与える、供給する、餌を食べる,8
1539,feeling,感情、（漠然とした）感じ、感覚,8
1540,fellow,仲間、奴、同僚、同級生、男,8
1541,female,女性（の）、雌（の）,8
1542,feminine,女らしい,8
1543,ferment,発酵させる、発酵する,8
1544,ferocious,残忍な、ものすごい,8
1545,fertile,肥沃な、創造力豊かな、（動植物が）生殖力のある,8
1546,fertility,多産、繁殖能力（のあること）、肥沃なこと,8
1547,fetch,取って来る、連れてくる、進路を取る、取って来ること,8
1548,feudal,封建時代［制度］の、封建的な,8
1549,fever,熱、熱狂,8
1550,fiber,繊維(の１本)、繊維質、食物繊維,8
1551,fiction,小説、フィクション、作り話、虚構,8
1552,field,場、畑、田、野原、競技場、分野,8
1553,fierce,どう猛な、激しい、厳しい,8
1554,fight,戦う、けんか、戦い,8
1555,figure,と思う、数字、姿、（～な）人物、図形,8
1556,file,(書類などの)ファイル、（書類などを）提出する,8
1557,fill,満たす、占める,8
1558,film,映画、フィルム,8
1559,filter,フィルター、濾過機、染み出る、を濾過する、を取り除く,8
